class_id,class_letter,class_name,class_description,class_year
1,A,Klasa Cukierniczo-Filozoficzna,"Kurs skierowany do uczniów, którzy pragną zgłębiać tajniki istoty bytu, jednocześnie wypiekając torciki i ciasteczka. Filozofia staje się znacznie łatwiejsza do zrozumienia, gdy jej zasady omawiane są przy dekorowaniu babeczek.",2009
2,B,Klasa Numizmatyczno-Biologiczna,"Dla tych, którzy chcieliby połączyć swoją pasję do zbierania monet ze studiowaniem różnorodności życia na Ziemi. Szkolenia obejmują analizę wpływu rzadkich monet na proces fotosyntezy u roślin.",2009
3,C,Klasa Historyczno-Astronomiczna,"Ten unikalny program łączy w sobie analizę historycznych wydarzeń z obserwacją ciał niebieskich. Uczniowie mogą na przykład badać, jak wpływ fazy księżyca mógł wpływać na decyzje strategiczne w bitwach historycznych.",2009
4,D,Klasa Geograficzno-Kulinarne Origami,"Dla miłośników sztuki składania papieru, którzy pragną połączyć swoje umiejętności z wiedzą na temat regionalnej kuchni różnych krajów. Zajęcia obejmują tworzenie origami w kształcie charakterystycznych potraw.",2009
5,E,Klasa Matematyczno-Flamenco,"Dedykowana tym, którzy chcieliby połączyć radość z tańca z miłością do liczb. Zajęcia skupiają się na poszukiwaniu matematycznych wzorów w krokach i ruchach flamenco, oraz na zastosowaniu równań do choreografii.",2009
6,F,Klasa Fotograficzno-Entomologiczna,"Idealna dla miłośników fotografii i owadów, umożliwiająca zrozumienie wpływu światła na zachowania owadów i wykorzystanie tej wiedzy do tworzenia niezapomnianych zdjęć.",2009
7,G,Klasa Językowo-Szachowa,"Przeznaczona dla tych, którzy chcą połączyć swoje zainteresowania językami obcymi z grą w szachy, umożliwiając odkrywanie zaskakujących powiązań między gramatyką a strategiami szachowymi.",2009
8,H,Klasa Kulinarne Skateboardingu,"Dedykowana pasjonatom gotowania i sportów ekstremalnych, nauczysz się przyrządzać dania z różnych kultur podczas wykonywania tricków na deskorolce.",2009
9,I,Klasa Robotyczno-Baletowa,"Idealne dla miłośników technologii i tańca, ucząc jak programować roboty do wykonywania precyzyjnych ruchów baletowych.",2009
10,J,Klasa Biologiczno-Muzykologiczna,"Połączenie nauki o życiu z nauką o muzyce, badając na przykład wpływ różnych gatunków muzycznych na wzrost roślin.",2009
11,A,Klasa Astrologiczno-Archeologiczna,Poświęcona badaniu wpływu układów gwiazd na historię starożytnych cywilizacji.,2010
12,B,Klasa Matematyczno-Komiksowa,"Idealne dla miłośników matematyki i komiksów, badających jak liczby i równania wpływają na strukturę i narrację w komiksach.",2010
13,C,Klasa Chemii Eksperymentalnej Mody,Skupia się na badaniu wpływu różnych substancji chemicznych na tkaniny i ich potencjalne zastosowanie w przemyśle modowym.,2010
14,D,Klasa Fizyczno-Sztuk Walki,"Dla tych, którzy chcą zrozumieć zasady fizyki stojące za efektywnymi technikami samoobrony.",2010
